,uri,artist,album,name,duration_s,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre
0,spotify:track:70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,No.6 Collaborations Project,Beautiful People,197.866,False,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,0.5479999999999999,81,pop
1,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,No.6 Collaborations Project,South of the Border,204.466,False,0.14800000000000002,0.857,0.621,0.0,0.0865,-6.376,0.0824,97.986,0.6679999999999999,87,pop
2,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,No.6 Collaborations Project,Cross Me,206.186,True,0.214,0.746,0.787,0.0,0.0669,-6.3729999999999976,0.12,95.005,0.607,70,pop
3,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,No.6 Collaborations Project,Take Me Back to London,189.733,False,0.219,0.885,0.762,0.0,0.162,-5.513,0.21600000000000005,138.059,0.605,74,pop
4,spotify:track:0VsGaRXR5WAzpu51unJTis,Ed Sheeran,No.6 Collaborations Project,Best Part of Me,243.266,False,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,0.237,71,pop
5,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,No.6 Collaborations Project,I Don't Care,219.946,False,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,101.956,0.8420000000000001,82,pop
6,spotify:track:1DhRbox3xkceP64k3JeYfW,Ed Sheeran,No.6 Collaborations Project,Antisocial,161.746,False,0.133,0.715,0.823,0.0,0.361,-5.313,0.0495,151.95600000000005,0.91,73,pop
7,spotify:track:0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,No.6 Collaborations Project,Remember The Name,207.76,True,0.135,0.852,0.6659999999999999,0.0,0.7979999999999999,-6.922999999999999,0.184,91.046,0.726,74,pop
8,spotify:track:1Bdptrvb7nQkq8kCw3siE9,Ed Sheeran,No.6 Collaborations Project,Feels,150.786,False,0.112,0.665,0.68,0.0,0.096,-4.899,0.29,91.67,0.69,67,pop
9,spotify:track:5T03itPFOPGGkvVPvPiyla,Ed Sheeran,No.6 Collaborations Project,Put It All on Me,197.093,False,0.253,0.627,0.594,0.0,0.373,-8.306000000000001,0.0478,101.008,0.389,68,pop
10,spotify:track:2qRN7PWiHRLprw4FpDeI9N,Ed Sheeran,No.6 Collaborations Project,Nothing On You,200.733,False,0.333,0.747,0.649,0.0,0.172,-6.218,0.219,88.01100000000002,0.84,71,pop
11,spotify:track:3FHXUqaUer9o231Je1zxIN,Ed Sheeran,No.6 Collaborations Project,I Don't Want Your Money,204.506,False,0.314,0.469,0.631,0.0,0.14,-6.569,0.0853,91.418,0.763,67,pop
