uri,artist,album,name,artists,track_number,duration_ms,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre
spotify:track:5qN4HFkapdAOV94XPryVof,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Black Panther,['Kendrick Lamar'],1,130613,True,0.625,0.618,0.582,3.84e-06,0.265,-9.454,0.297,90.035,0.48,57,hiphop
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),"['Kendrick Lamar', 'SZA']",2,232186,True,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552,78,hiphop
spotify:track:4LmAnpjlhWTahvRkYR8xJa,Kendrick Lamar,Black Panther The Album Music From And Inspired By,X (with 2 Chainz & Saudi),"['ScHoolboy Q', '2 Chainz', 'Saudi']",3,267426,True,0.0201,0.768,0.471,0.0,0.268,-8.406,0.259,131.023,0.405,70,hiphop
spotify:track:5jyyPsIGM2yqkZN9R3TmvN,Kendrick Lamar,Black Panther The Album Music From And Inspired By,The Ways (with Swae Lee),"['Khalid', 'Swae Lee']",4,238893,True,0.0626,0.727,0.72,1.21e-06,0.176,-5.856,0.0488,140.08,0.589,65,hiphop
spotify:track:7bUcBztfGqO7cSI2gMZeCI,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Opps (with Yugen Blakrok),"['Vince Staples', 'Yugen Blakrok']",5,180893,True,0.152,0.706,0.775,3.32e-05,0.416,-6.819,0.335,127.929,0.847,59,hiphop
spotify:track:0DJBgBiYeSn6n1AXAkFVE8,Kendrick Lamar,Black Panther The Album Music From And Inspired By,I Am,['Jorja Smith'],6,208760,True,0.144,0.601,0.583,9.73e-05,0.183,-5.725,0.263,148.785,0.32,62,hiphop
spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Paramedic!,['SOB X RBE'],7,219306,True,0.177,0.856,0.652,0.0,0.193,-5.324,0.143,97.017,0.471,67,hiphop
spotify:track:4KXwFI9pgJLpUIAc9oSL8j,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Bloody Waters (with Anderson .Paak & James Blake),"['Ab-Soul', 'Anderson .Paak', 'James Blake']",8,272306,True,0.185,0.507,0.606,0.0,0.174,-8.758,0.452,180.607,0.202,62,hiphop
spotify:track:1eLSF6HfrRA0AsNmTkUlKx,Kendrick Lamar,Black Panther The Album Music From And Inspired By,"King's Dead (with Kendrick Lamar, Future & James Blake)","['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",9,225266,True,0.00102,0.566,0.724,0.0,0.158,-4.574,0.323,81.774,0.407,65,hiphop
spotify:track:4FpfU1O7WCLBnmwu5XAFk4,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Redemption Interlude,['Zacari'],10,85266,True,0.662,0.549,0.449,4.88e-05,0.0866,-13.645,0.104,121.164,0.223,52,hiphop
spotify:track:76iVOVsliCHlWqKuDnCfhE,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Redemption (with Babes Wodumo),"['Zacari', 'Babes Wodumo']",11,222093,True,0.139,0.778,0.765,0.0274,0.123,-7.175,0.128,125.062,0.642,57,hiphop
spotify:track:35cOyocq8Gb6UcT0NWeTwn,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Seasons (with Sjava & Reason),"['Mozzy', 'Sjava', 'REASON']",12,242293,True,0.28,0.629,0.554,0.0,0.158,-6.759,0.326,126.694,0.308,56,hiphop
spotify:track:5cXg9IQS34FzLVdHhp7hu7,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Big Shot (with Travis Scott),"['Kendrick Lamar', 'Travis Scott']",13,221826,True,0.00759,0.855,0.478,0.0,0.101,-9.116,0.193,130.018,0.284,68,hiphop
spotify:track:77UjLW8j5UAGAGVGhR5oUK,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar),"['The Weeknd', 'Kendrick Lamar']",14,211440,True,0.0762,0.735,0.677,2.17e-05,0.111,-4.979,0.093,100.584,0.188,76,hiphop
spotify:track:2PESSRrfGBuDrJ1I7rm8dc,Kendrick Lamar,DAMN. COLLECTORS EDITION.,DUCKWORTH.,['Kendrick Lamar'],1,248613,True,0.0536,0.552,0.731,0.0,0.258,-6.873,0.615,174.516,0.632,46,hiphop
spotify:track:4suzR7RVn00QijvJPkMVMf,Kendrick Lamar,DAMN. COLLECTORS EDITION.,GOD.,['Kendrick Lamar'],2,248826,True,0.0347,0.706,0.557,0.0,0.276,-5.8,0.0813,132.98,0.205,45,hiphop
spotify:track:28J8MZFrSMvd5gWxAGRBq1,Kendrick Lamar,DAMN. COLLECTORS EDITION.,FEAR.,['Kendrick Lamar'],3,460573,True,0.604,0.588,0.479,7.2e-06,0.527,-7.039,0.281,150.414,0.434,45,hiphop
spotify:track:0lJZRic5kToowUXH35uy7P,Kendrick Lamar,DAMN. COLLECTORS EDITION.,XXX. FEAT. U2.,"['Kendrick Lamar', 'U2']",4,254200,True,0.138,0.568,0.619,1.67e-06,0.11,-6.899,0.414,170.115,0.293,45,hiphop
spotify:track:0R9U7yIlLm8KAL6iQbwKKT,Kendrick Lamar,DAMN. COLLECTORS EDITION.,LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",5,213400,True,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.058,0.779,46,hiphop
spotify:track:1PKNKessUE10zYclDWNRfE,Kendrick Lamar,DAMN. COLLECTORS EDITION.,LUST.,['Kendrick Lamar'],6,307880,True,0.193,0.678,0.562,0.0,0.104,-9.197,0.508,94.241,0.566,44,hiphop
spotify:track:0gvQoTWRxsW5Rd7KgPp0u3,Kendrick Lamar,DAMN. COLLECTORS EDITION.,HUMBLE.,['Kendrick Lamar'],7,177000,True,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,0.421,46,hiphop
spotify:track:1P9LiOkE3LnKSYsoz1F8A7,Kendrick Lamar,DAMN. COLLECTORS EDITION.,PRIDE.,['Kendrick Lamar'],8,275253,True,0.0786,0.665,0.535,1.68e-05,0.154,-7.056,0.0572,138.842,0.37,46,hiphop
spotify:track:0Omhxcy38tjNxqVZshdfpf,Kendrick Lamar,DAMN. COLLECTORS EDITION.,LOYALTY. FEAT. RIHANNA.,"['Kendrick Lamar', 'Rihanna']",9,227360,True,0.0265,0.658,0.535,0.0,0.2,-8.983,0.0573,110.684,0.419,45,hiphop
spotify:track:3hKPfWwm32Nv7Xj57lrxeC,Kendrick Lamar,DAMN. COLLECTORS EDITION.,FEEL.,['Kendrick Lamar'],10,214826,True,0.137,0.746,0.798,0.0,0.139,-8.382,0.349,109.968,0.553,44,hiphop
spotify:track:3uubYELqTxIOqGalMtUq63,Kendrick Lamar,DAMN. COLLECTORS EDITION.,ELEMENT.,['Kendrick Lamar'],11,208733,True,0.204,0.748,0.705,0.0,0.246,-4.547,0.485,189.891,0.483,46,hiphop
spotify:track:7tC6nVqWp4FALU6I3li1g9,Kendrick Lamar,DAMN. COLLECTORS EDITION.,YAH.,['Kendrick Lamar'],12,160293,True,0.576,0.67,0.7,5.34e-06,0.226,-7.893,0.196,69.986,0.648,43,hiphop
spotify:track:4odAJ4IxmYzy3co4TeYP24,Kendrick Lamar,DAMN. COLLECTORS EDITION.,DNA.,['Kendrick Lamar'],13,185946,True,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,0.422,46,hiphop
spotify:track:1WonGCoO1sz7I4aD0HRbXy,Kendrick Lamar,DAMN. COLLECTORS EDITION.,BLOOD.,['Kendrick Lamar'],14,118066,True,0.142,0.357,0.238,0.0859,0.55,-16.78,0.265,156.907,0.494,40,hiphop
spotify:track:6OkOFxU6j0UufR97VgSnS7,Kendrick Lamar,untitled unmastered.,untitled 01 | 08.19.2014.,['Kendrick Lamar'],1,247746,True,0.321,0.57,0.584,0.0,0.0868,-11.708,0.405,102.19,0.107,49,hiphop
spotify:track:3I0FBDc1c1BLNtXWKVjmFg,Kendrick Lamar,untitled unmastered.,untitled 02 | 06.23.2014.,['Kendrick Lamar'],2,258826,True,0.341,0.667,0.508,0.0,0.644,-10.337,0.451,89.436,0.093,60,hiphop
spotify:track:2fgAJeky8Cpsr8Cfvn2NVp,Kendrick Lamar,untitled unmastered.,untitled 03 | 05.28.2013.,['Kendrick Lamar'],3,154346,True,0.608,0.813,0.549,1e-06,0.129,-12.427,0.269,103.914,0.562,53,hiphop
spotify:track:1U13SSgDOxK98L1FTWYrjQ,Kendrick Lamar,untitled unmastered.,untitled 04 | 08.14.2014.,['Kendrick Lamar'],4,110066,True,0.864,0.512,0.128,0.0,0.512,-21.49,0.252,103.056,0.219,49,hiphop
spotify:track:3V8vWoCbKbfjNrPaQ4YtSg,Kendrick Lamar,untitled unmastered.,untitled 05 | 09.21.2014.,['Kendrick Lamar'],5,338426,True,0.321,0.461,0.62,0.0,0.151,-9.822,0.496,153.941,0.422,52,hiphop
spotify:track:4M2t7bP4Mq87mGMn0PObUX,Kendrick Lamar,untitled unmastered.,untitled 06 | 06.30.2014.,['Kendrick Lamar'],6,208013,True,0.0992,0.669,0.541,7.69e-06,0.254,-11.291,0.0461,89.083,0.645,54,hiphop
spotify:track:40IQooNkPRVtn4zlE3ZFpA,Kendrick Lamar,untitled unmastered.,untitled 07 | 2014 - 2016,['Kendrick Lamar'],7,496173,True,0.732,0.567,0.463,0.0,0.709,-11.669,0.504,126.982,0.324,59,hiphop
spotify:track:5bBUDJUfGcG7eFy3Bf4fXv,Kendrick Lamar,untitled unmastered.,untitled 08 | 09.06.2014.,['Kendrick Lamar'],8,235506,True,0.25,0.85,0.524,2.46e-06,0.114,-9.375,0.204,120.004,0.686,55,hiphop
spotify:track:3bfADkn4569mddf3NuIyKh,Kendrick Lamar,To Pimp A Butterfly,Wesley's Theory,"['Kendrick Lamar', 'George Clinton', 'Thundercat']",1,287360,True,0.359,0.509,0.787,2.76e-05,0.26,-6.754,0.265,114.449,0.507,18,hiphop
spotify:track:4c5DfSNdMMD0WfAzC11Eb5,Kendrick Lamar,To Pimp A Butterfly,For Free? - Interlude,['Kendrick Lamar'],2,130893,True,0.588,0.526,0.896,0.0,0.37,-4.708,0.197,129.313,0.745,13,hiphop
spotify:track:2XijsLg3IR0IkUMKtlqdvT,Kendrick Lamar,To Pimp A Butterfly,King Kunta,['Kendrick Lamar'],3,234693,True,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,0.489,22,hiphop
spotify:track:1FUcuS5FpYqBrIgTD9fXTQ,Kendrick Lamar,To Pimp A Butterfly,Institutionalized,"['Kendrick Lamar', 'Bilal', 'Anna Wise', 'Snoop Dogg']",4,271773,True,0.112,0.539,0.731,1.19e-06,0.129,-5.085,0.453,81.114,0.568,16,hiphop
spotify:track:7grlZyuGxtz5uWBNJ7aCmO,Kendrick Lamar,To Pimp A Butterfly,These Walls,"['Kendrick Lamar', 'Bilal', 'Anna Wise', 'Thundercat']",5,300973,True,0.11,0.752,0.489,3.57e-06,0.202,-5.233,0.137,108.005,0.373,18,hiphop
spotify:track:7iVC68z9TYxNpFCQfs6TUE,Kendrick Lamar,To Pimp A Butterfly,u,['Kendrick Lamar'],6,268493,True,0.26,0.406,0.798,0.0,0.461,-5.585,0.432,71.547,0.58,14,hiphop
spotify:track:6oakQZRgFZ5FRHDr3GoiPF,Kendrick Lamar,To Pimp A Butterfly,Alright,['Kendrick Lamar'],7,219333,True,0.0742,0.796,0.766,0.0,0.0827,-5.974,0.238,110.034,0.558,22,hiphop
spotify:track:7KCvyzT5jtlJwoyUN8Uw0A,Kendrick Lamar,To Pimp A Butterfly,For Sale? - Interlude,['Kendrick Lamar'],8,291720,True,0.442,0.301,0.686,0.000115,0.121,-8.36,0.0831,79.036,0.276,13,hiphop
spotify:track:2bwC0ggz9qwYcCIpM1fBzK,Kendrick Lamar,To Pimp A Butterfly,Momma,['Kendrick Lamar'],9,283120,True,0.254,0.615,0.743,0.0,0.665,-4.58,0.325,111.914,0.515,12,hiphop
spotify:track:0lGb6cqAouFJqlNT0HJEcV,Kendrick Lamar,To Pimp A Butterfly,Hood Politics,['Kendrick Lamar'],10,292520,True,0.145,0.731,0.661,0.0,0.12,-6.562,0.376,87.912,0.369,14,hiphop
