,uri,artist,album,name,artists,track_number,duration_ms,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,long_name,chain_lyrics,lyrics
0,spotify:track:5qN4HFkapdAOV94XPryVof,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Black Panther,['Kendrick Lamar'],1,130613,True,0.625,0.618,0.5820000000000001,3.84e-06,0.265,-9.454,0.297,90.035,0.48,57,hiphop,Black Panther,"(Why I go easy?) 
 (Know why I go easy) 
 Wait 
  
  
 King of my city, king of my country, king of my homeland 
 King of the filthy, king of the fallen, we livin' again 
 King of the shooters, looters, boosters, and ghettos poppin' 
 King of the past, present, future, my ancestors watchin' 
 King of the culture, king of the soldiers, king of the bloodshed 
 King of the wisdom, king of the ocean, king of the respect 
 King of the optimistics and dreamers that go and get it 
 King of the winner's district and geniuses with conviction 
 King of the fighters, king of the fathers, king of the belated 
 King of the answer, king of the problem, king of the forsaken 
 King of the empathy, you resent me, king of remorse 
 King of my enemies, may they fall defeat, I rejoice 
 King of the skyscrapers, dodgin' haters, broke religion 
  
  
 Nine faces, go against 'em, I erased 'em with precision 
 I embrace them with collision, kings did it 
 King's vision, Black Panther, King Kendrick, all hail the king! 
 I dropped a million tears 
 I know several responsibilities put me here 
 I don't pedal backwards, but I live old-fashioned 
 The lens that I'm lookin' through 
 Won't prescribe me the right glasses, masses are now free 
 Ashes I'm dumpin' out, 'bout to spread all 'cross seas 
 Sisters and brothers in unison, not because of me 
 Because we don't glue with the opposition, we glue with peace 
 But still'd fuck up your organization if any beef 
 What do you stand for? 
 Are you a activist? What are your city plans for? 
 Are you a accident? Are you just in the way? 
 Your native tongue contradictin' what your body language say 
 Are you a king or you jokin'? Are you a king or you posin'? 
  
  
 Are you a king or you smokin' bowl rocks to keep you open? 
 Because the king don't cry, king don't die 
 King don't lie, king give heart, king get by, king don't fall 
 Kingdom come, when I come, you know why 
 KING! KING! KING! KING! KING! 
 I am T'Challa","(why i go easy?) (know why i go easy) wait  king of my city, king of my country, king of my homeland king of the filthy, king of the fallen, we livin' again king of the shooters, looters, boosters, and ghettos poppin' king of the past, present, future, my ancestors watchin' king of the culture, king of the soldiers, king of the bloodshed king of the wisdom, king of the ocean, king of the respect king of the optimistics and dreamers that go and get it king of the winner's district and geniuses with conviction king of the fighters, king of the fathers, king of the belated king of the answer, king of the problem, king of the forsaken king of the empathy, you resent me, king of remorse king of my enemies, may they fall defeat, i rejoice king of the skyscrapers, dodgin' haters, broke religion  nine faces, go against 'em, i erased 'em with precision i embrace them with collision, kings did it king's vision, black panther, king kendrick, all hail the king! i dropped a million tears i know several responsibilities put me here i don't pedal backwards, but i live old-fashioned the lens that i'm lookin' through won't prescribe me the right glasses, masses are now free ashes i'm dumpin' out, 'bout to spread all 'cross seas sisters and brothers in unison, not because of me because we don't glue with the opposition, we glue with peace but still'd fuck up your organization if any beef what do you stand for? are you a activist? what are your city plans for? are you a accident? are you just in the way? your native tongue contradictin' what your body language say are you a king or you jokin'? are you a king or you posin'?  are you a king or you smokin' bowl rocks to keep you open? because the king don't cry, king don't die king don't lie, king give heart, king get by, king don't fall kingdom come, when i come, you know why king! king! king! king! king! i am t'challa"
1,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars,"['Kendrick Lamar', 'SZA']",2,232186,True,0.0605,0.698,0.633,0.000194,0.0926,-4.946000000000001,0.0597,96.92399999999999,0.552,78,hiphop,All The Stars (with SZA),"Love, let's talk about love 
 Is it anything and everything you hoped for? 
 Or do the feeling haunt you? (Haunt) 
 I know the feeling haunt you (Haunt) 
  
  
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer 
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer 
  
  
 Tell me what you gon' do to me 
 Confrontation ain't nothin' new to me 
 You can bring a bullet, bring a sword, bring a morgue 
 But you can't bring the truth to me 
 Fuck you and all your expectations 
 I don't even want your congratulations 
 I recognize your false confidence 
 And calculated promises all in your conversation 
 I hate people that feel entitled 
 Look at me crazy 'cause I ain't invite you 
 Oh, you important? 
 You the moral to the story? You endorsin'? 
 Mothafucka, I don't even like you 
 Corrupt a man's heart with a gift 
 That's how you find out who you dealin' with 
 A small percentage who I'm buildin' with 
 I want the credit if I'm losin' or I'm winnin' 
 On my momma, that's the realest shit 
  
  
 Love, let's talk about love 
 Is it anything and everything you hoped for? 
 Or do the feeling haunt you? (Haunt) 
 I know the feeling haunt you (Haunt) 
  
  
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer 
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer 
  
  
 Skin covered in ego 
 Get to talkin', I get involved, like a rebound 
 No control, no off switch 
 And the way that you bringin' me down 
 It's a turn on, get it away from me 
 Know you mean wrong, keep away from me 
 And it's all wrong, get it away from me, yeah 
 I just cry for no reason 
 I just pray for no reason 
 I give thanks for the life, for the day 
 For the hours and another life breathin' 
 I did it all 'cause it feel good 
 You'd leave it all if it feel bad 
 Better live your life, we were runnin' out of time 
  
  
 Love, let's talk about love 
 Is it anything and everything you hoped for? 
 Or do the feeling haunt you? (Haunt) 
 I know the feeling haunt you (Haunt) 
  
  
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer 
 This may be the night that my dreams might let me know 
 All the stars are closer 
 All the stars are closer 
 All the stars are closer","love, let's talk about love is it anything and everything you hoped for? or do the feeling haunt you? (haunt) i know the feeling haunt you (haunt)  this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer  tell me what you gon' do to me confrontation ain't nothin' new to me you can bring a bullet, bring a sword, bring a morgue but you can't bring the truth to me fuck you and all your expectations i don't even want your congratulations i recognize your false confidence and calculated promises all in your conversation i hate people that feel entitled look at me crazy 'cause i ain't invite you oh, you important? you the moral to the story? you endorsin'? mothafucka, i don't even like you corrupt a man's heart with a gift that's how you find out who you dealin' with a small percentage who i'm buildin' with i want the credit if i'm losin' or i'm winnin' on my momma, that's the realest shit  love, let's talk about love is it anything and everything you hoped for? or do the feeling haunt you? (haunt) i know the feeling haunt you (haunt)  this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer  skin covered in ego get to talkin', i get involved, like a rebound no control, no off switch and the way that you bringin' me down it's a turn on, get it away from me know you mean wrong, keep away from me and it's all wrong, get it away from me, yeah i just cry for no reason i just pray for no reason i give thanks for the life, for the day for the hours and another life breathin' i did it all 'cause it feel good you'd leave it all if it feel bad better live your life, we were runnin' out of time  love, let's talk about love is it anything and everything you hoped for? or do the feeling haunt you? (haunt) i know the feeling haunt you (haunt)  this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer this may be the night that my dreams might let me know all the stars are closer all the stars are closer all the stars are closer"
2,spotify:track:4LmAnpjlhWTahvRkYR8xJa,Kendrick Lamar,Black Panther The Album Music From And Inspired By,X,"['ScHoolboy Q', '2 Chainz', 'Saudi']",3,267426,True,0.0201,0.768,0.47100000000000003,0.0,0.268,-8.406,0.259,131.023,0.405,70,hiphop,X (with 2 Chainz & Saudi),,
3,spotify:track:5jyyPsIGM2yqkZN9R3TmvN,Kendrick Lamar,Black Panther The Album Music From And Inspired By,The Ways,"['Khalid', 'Swae Lee']",4,238893,True,0.0626,0.727,0.72,1.21e-06,0.17600000000000002,-5.856,0.0488,140.08,0.589,65,hiphop,The Ways (with Swae Lee),,
4,spotify:track:7bUcBztfGqO7cSI2gMZeCI,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Opps,"['Vince Staples', 'Yugen Blakrok']",5,180893,True,0.152,0.706,0.775,3.32e-05,0.41600000000000004,-6.819,0.335,127.929,0.847,59,hiphop,Opps (with Yugen Blakrok),"Fuck y'all want from me? 
 Y'all don't want money, y'all don't want from me 
 Y'all wanna die in the chase of things 
 We all gon' die and embrace the thing 
 Trapped inside a burnin' church 
 Made it out alive, God know my worth 
 Raw face, Scarface 
 Y'all face more defeat, I know it hurts 
 20 of 'em, 20 on call 
 Got 20 in my hand, got 20 on judge 
 Gave 20 to my dog, got 20 on girls 
 That'll fuck you to— (zoom zoom zoom) 
 That'll fuck you then fuck you over 
 Take your safe, take your keys, take your Rover 
 Take the heart you thought you had 
 Speed off, rollin' up life in a taxi cab 
  
  
 Opps on the radar (You're dead to me) 
 How you wanna play ball? (You're dead to me) 
 –takes all (You're dead to me) 
 (You're dead to me, you're dead to me) 
 You know what zone I'm in (You're dead to me) 
 Don't care who you with (You're dead to me) 
 Watch me do my shit (You're dead to me) 
 (You're dead to me) 
  
  
 Hey hey, ready, set, go crazy 
 Here to finesse, you see I'm getting mines 
 A life hit a nigga with a lemon's limelight 
 But at night, we still committin' crimes, spittin' rhymes 
 Bought a coupe with the spinnin' rims, get inside 
 Bring a friend, bleedin' hands from the genocide 
 Clean me up, beam me up to the other side 
 Brothers die, 'cause 'coons turn to butterflies 
 They don't wanna see me sittin' in the Benz 
 They don't wanna see me livin' on the end 
 Of the city in a citywide bend 
 Show no pity in the city full of sin 
 They don't wanna see me gettin' to the check 
 They just wanna see me swimmin' in the debt 
 Don't drown on ground, wait until you hear 
 9-1-1, freeze (zoom, zoom) dead 
  
  
 Opps on the radar (You're dead to me) 
 How you wanna play ball? (You're dead to me) 
 –takes all (You're dead to me) 
 (You're dead to me, you're dead to me) 
 You know what zone I'm in (You're dead to me) 
 Don't care who you with (You're dead to me) 
 Watch me do my shit (You're dead to me) 
 (You're dead to me) 
  
  
 I move like a millipede 
 When I flex them tendons like rubber trees 
 Young Millie Jackson back to the shit 
 Mouthpiece drawn, got a verbal armory 
 Stack bodies, not figurines 
 Move beneath the surface, submarine 
 I'm half machine, obscene with a light sword 
 Look inside the brain, it's a riot in the psych ward 
 What you standing on the side for? 
 Roar like a lioness, punch like a cyborg 
 Spit slick, attack is subliminal 
 Flowers on my mind, but the rhyme style sinister 
 Stand behind my own bars, like a seasoned criminal 
 Gotham City Streets, I'll play the *bleep* 
 Crushing any system, that belittles us 
 Antidote to every poison they administer 
 Switch it like time signatures 
 Colors in my aura tend cover the perimeter 
 Brown bodies that the blues wanna shoot through 
 Hi-res lasers wanna (zoom, zoom, zoom) 
 Wool over your eyes 
 My strength ain't nothing like my size 
 Blades on the top, Kathleen Cleaver 
 Tangle my cords like a weaver 
  
  
 Opps on the radar (You're dead to me) 
 How you wanna play ball? (You're dead to me) 
 –takes all (You're dead to me) 
 (You're dead to me, you're dead to me) 
 You know what zone I'm in (You're dead to me) 
 Don't care who you with (You're dead to me) 
 Watch me do my shit (You're dead to me) 
 (You're dead to me)","fuck y'all want from me? y'all don't want money, y'all don't want from me y'all wanna die in the chase of things we all gon' die and embrace the thing trapped inside a burnin' church made it out alive, god know my worth raw face, scarface y'all face more defeat, i know it hurts 20 of 'em, 20 on call got 20 in my hand, got 20 on judge gave 20 to my dog, got 20 on girls that'll fuck you to— (zoom zoom zoom) that'll fuck you then fuck you over take your safe, take your keys, take your rover take the heart you thought you had speed off, rollin' up life in a taxi cab  opps on the radar (you're dead to me) how you wanna play ball? (you're dead to me) –takes all (you're dead to me) (you're dead to me, you're dead to me) you know what zone i'm in (you're dead to me) don't care who you with (you're dead to me) watch me do my shit (you're dead to me) (you're dead to me)  hey hey, ready, set, go crazy here to finesse, you see i'm getting mines a life hit a nigga with a lemon's limelight but at night, we still committin' crimes, spittin' rhymes bought a coupe with the spinnin' rims, get inside bring a friend, bleedin' hands from the genocide clean me up, beam me up to the other side brothers die, 'cause 'coons turn to butterflies they don't wanna see me sittin' in the benz they don't wanna see me livin' on the end of the city in a citywide bend show no pity in the city full of sin they don't wanna see me gettin' to the check they just wanna see me swimmin' in the debt don't drown on ground, wait until you hear 9-1-1, freeze (zoom, zoom) dead  opps on the radar (you're dead to me) how you wanna play ball? (you're dead to me) –takes all (you're dead to me) (you're dead to me, you're dead to me) you know what zone i'm in (you're dead to me) don't care who you with (you're dead to me) watch me do my shit (you're dead to me) (you're dead to me)  i move like a millipede when i flex them tendons like rubber trees young millie jackson back to the shit mouthpiece drawn, got a verbal armory stack bodies, not figurines move beneath the surface, submarine i'm half machine, obscene with a light sword look inside the brain, it's a riot in the psych ward what you standing on the side for? roar like a lioness, punch like a cyborg spit slick, attack is subliminal flowers on my mind, but the rhyme style sinister stand behind my own bars, like a seasoned criminal gotham city streets, i'll play the *bleep* crushing any system, that belittles us antidote to every poison they administer switch it like time signatures colors in my aura tend cover the perimeter brown bodies that the blues wanna shoot through hi-res lasers wanna (zoom, zoom, zoom) wool over your eyes my strength ain't nothing like my size blades on the top, kathleen cleaver tangle my cords like a weaver  opps on the radar (you're dead to me) how you wanna play ball? (you're dead to me) –takes all (you're dead to me) (you're dead to me, you're dead to me) you know what zone i'm in (you're dead to me) don't care who you with (you're dead to me) watch me do my shit (you're dead to me) (you're dead to me)"
5,spotify:track:0DJBgBiYeSn6n1AXAkFVE8,Kendrick Lamar,Black Panther The Album Music From And Inspired By,I Am,['Jorja Smith'],6,208760,True,0.14400000000000002,0.601,0.583,9.73e-05,0.183,-5.725,0.263,148.785,0.32,62,hiphop,I Am,,
6,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Paramedic!,['SOB X RBE'],7,219306,True,0.177,0.856,0.652,0.0,0.193,-5.324,0.14300000000000002,97.01700000000001,0.47100000000000003,67,hiphop,Paramedic!,,
7,spotify:track:4KXwFI9pgJLpUIAc9oSL8j,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Bloody Waters,"['Ab-Soul', 'Anderson .Paak', 'James Blake']",8,272306,True,0.185,0.507,0.606,0.0,0.174,-8.758,0.452,180.607,0.20199999999999999,62,hiphop,Bloody Waters (with Anderson .Paak & James Blake),,
8,spotify:track:1eLSF6HfrRA0AsNmTkUlKx,Kendrick Lamar,Black Panther The Album Music From And Inspired By,King's Dead,"['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",9,225266,True,0.0010199999999999999,0.5660000000000001,0.7240000000000001,0.0,0.158,-4.574,0.32299999999999995,81.774,0.40700000000000003,65,hiphop,"King's Dead (with Kendrick Lamar, Future & James Blake)",,
9,spotify:track:4FpfU1O7WCLBnmwu5XAFk4,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Redemption Interlude,['Zacari'],10,85266,True,0.662,0.5489999999999999,0.449,4.88e-05,0.0866,-13.645,0.10400000000000001,121.164,0.223,52,hiphop,Redemption Interlude,,
