uri,artist,album,name,artists,track_number,duration_ms,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,long_name
spotify:track:70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,No.6 Collaborations Project,Beautiful People,"['Ed Sheeran', 'Khalid']",1,197866,False,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,0.5479999999999999,81,pop,Beautiful People (feat. Khalid)
spotify:track:4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,No.6 Collaborations Project,South of the Border,"['Ed Sheeran', 'Camila Cabello', 'Cardi B']",2,204466,False,0.14800000000000002,0.857,0.621,0.0,0.0865,-6.376,0.0824,97.986,0.6679999999999999,87,pop,South of the Border (feat. Camila Cabello & Cardi B)
spotify:track:4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,No.6 Collaborations Project,Cross Me,"['Ed Sheeran', 'Chance the Rapper', 'PnB Rock']",3,206186,True,0.214,0.746,0.787,0.0,0.0669,-6.372999999999998,0.12,95.005,0.607,70,pop,Cross Me (feat. Chance the Rapper & PnB Rock)
spotify:track:1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,No.6 Collaborations Project,Take Me Back to London,"['Ed Sheeran', 'Stormzy']",4,189733,False,0.219,0.885,0.762,0.0,0.162,-5.513,0.21600000000000005,138.059,0.605,74,pop,Take Me Back to London (feat. Stormzy)
spotify:track:0VsGaRXR5WAzpu51unJTis,Ed Sheeran,No.6 Collaborations Project,Best Part of Me,"['Ed Sheeran', 'Yebba']",5,243266,False,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,0.237,71,pop,Best Part of Me (feat. YEBBA)
spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,No.6 Collaborations Project,I Don't Care,"['Ed Sheeran', 'Justin Bieber']",6,219946,False,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,101.956,0.8420000000000001,82,pop,I Don't Care (with Justin Bieber)
spotify:track:1DhRbox3xkceP64k3JeYfW,Ed Sheeran,No.6 Collaborations Project,Antisocial,"['Ed Sheeran', 'Travis Scott']",7,161746,False,0.133,0.715,0.823,0.0,0.361,-5.313,0.0495,151.95600000000005,0.91,73,pop,Antisocial (with Travis Scott)
spotify:track:0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,No.6 Collaborations Project,Remember The Name,"['Ed Sheeran', 'Eminem', '50 Cent']",8,207760,True,0.135,0.852,0.6659999999999999,0.0,0.7979999999999999,-6.922999999999999,0.184,91.046,0.726,74,pop,Remember The Name (feat. Eminem & 50 Cent)
spotify:track:1Bdptrvb7nQkq8kCw3siE9,Ed Sheeran,No.6 Collaborations Project,Feels,"['Ed Sheeran', 'Young Thug', 'J Hus']",9,150786,False,0.112,0.665,0.68,0.0,0.096,-4.899,0.29,91.67,0.69,67,pop,Feels (feat. Young Thug & J Hus)
spotify:track:5T03itPFOPGGkvVPvPiyla,Ed Sheeran,No.6 Collaborations Project,Put It All on Me,"['Ed Sheeran', 'Ella Mai']",10,197093,False,0.253,0.627,0.594,0.0,0.373,-8.306000000000001,0.0478,101.008,0.389,68,pop,Put It All on Me (feat. Ella Mai)
spotify:track:2qRN7PWiHRLprw4FpDeI9N,Ed Sheeran,No.6 Collaborations Project,Nothing On You,"['Ed Sheeran', 'Paulo Londra', 'Dave']",11,200733,False,0.333,0.747,0.649,0.0,0.172,-6.218,0.219,88.01100000000002,0.84,71,pop,Nothing On You (feat. Paulo Londra & Dave)
spotify:track:3FHXUqaUer9o231Je1zxIN,Ed Sheeran,No.6 Collaborations Project,I Don't Want Your Money,"['Ed Sheeran', 'H.E.R.']",12,204506,False,0.314,0.469,0.631,0.0,0.14,-6.569,0.0853,91.418,0.763,67,pop,I Don't Want Your Money (feat. H.E.R.)
spotify:track:4vIKzWqtn44umal5jXq4wE,Ed Sheeran,No.6 Collaborations Project,1000 Nights,"['Ed Sheeran', 'Meek Mill', 'A Boogie Wit da Hoodie']",13,212306,False,0.467,0.778,0.59,0.0,0.0902,-5.547999999999999,0.27,97.995,0.515,67,pop,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)
spotify:track:5d1rmWWF1725tnYjq6rMDB,Ed Sheeran,No.6 Collaborations Project,Way To Break My Heart,"['Ed Sheeran', 'Skrillex']",14,190293,False,0.11,0.726,0.731,3.21e-06,0.0928,-6.3039999999999985,0.159,170.125,0.43,63,pop,Way To Break My Heart (feat. Skrillex)
spotify:track:7hvO2qCwJVZxiyoA7c9i5d,Ed Sheeran,No.6 Collaborations Project,BLOW,"['Ed Sheeran', 'Chris Stapleton', 'Bruno Mars']",15,209120,False,0.000245,0.631,0.7959999999999999,0.0115,0.38,-5.35,0.0401,92.469,0.596,65,pop,BLOW (with Chris Stapleton & Bruno Mars)
spotify:track:7oolFzHipTMg2nL7shhdz2,Ed Sheeran,÷ (Deluxe),Eraser,['Ed Sheeran'],1,227426,False,0.086,0.64,0.812,0.0,0.0509,-5.647,0.0834,86.01299999999998,0.914,64,pop,Eraser
spotify:track:6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,÷ (Deluxe),Castle on the Hill,['Ed Sheeran'],2,261153,False,0.0232,0.461,0.8340000000000001,1.14e-05,0.14,-4.868,0.0989,135.007,0.471,78,pop,Castle on the Hill
spotify:track:51ChrwmUPDJvedPQnIU8Ls,Ed Sheeran,÷ (Deluxe),Dive,['Ed Sheeran'],3,238440,False,0.355,0.7609999999999999,0.386,0.0,0.0953,-6.158,0.0399,134.94299999999998,0.526,75,pop,Dive
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),Shape of You,['Ed Sheeran'],4,233712,False,0.581,0.825,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,0.931,85,pop,Shape of You
spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),Perfect,['Ed Sheeran'],5,263400,False,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168,85,pop,Perfect
spotify:track:0afhq8XCExXpqazXczTSve,Ed Sheeran,÷ (Deluxe),Galway Girl,['Ed Sheeran'],6,170826,False,0.0735,0.624,0.8759999999999999,0.0,0.327,-3.374,0.1,99.943,0.7809999999999999,78,pop,Galway Girl
spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,÷ (Deluxe),Happier,['Ed Sheeran'],7,207520,False,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,0.236,81,pop,Happier
spotify:track:5HDPtsnyb3maFmPL8LLUTG,Ed Sheeran,÷ (Deluxe),New Man,['Ed Sheeran'],8,189280,False,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,0.862,69,pop,New Man
spotify:track:2dfHh7ECGxfNqZTQno09Vk,Ed Sheeran,÷ (Deluxe),Hearts Don't Break Around Here,['Ed Sheeran'],9,248413,False,0.7190000000000001,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,0.181,68,pop,Hearts Don't Break Around Here
spotify:track:2pJZ1v8HezrAoZ0Fhzby92,Ed Sheeran,÷ (Deluxe),What Do I Know?,['Ed Sheeran'],10,237333,False,0.251,0.838,0.4920000000000001,0.0,0.262,-5.69,0.038,115.092,0.895,70,pop,What Do I Know?
spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,Ed Sheeran,÷ (Deluxe),How Would You Feel,['Ed Sheeran'],11,280533,False,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.97899999999998,0.242,69,pop,How Would You Feel (Paean)
spotify:track:4VuS959DSpr82t3qBqCrWG,Ed Sheeran,÷ (Deluxe),Supermarket Flowers,['Ed Sheeran'],12,221106,False,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,0.257,77,pop,Supermarket Flowers
spotify:track:3Lfiu5sZ4M4B6JaKMBc0FU,Ed Sheeran,÷ (Deluxe),Barcelona,['Ed Sheeran'],13,191146,False,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,0.682,68,pop,Barcelona
spotify:track:6SznMYPQJHzr3IwsAHLId2,Ed Sheeran,÷ (Deluxe),Bibia Be Ye Ye,['Ed Sheeran'],14,176746,False,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,0.882,66,pop,Bibia Be Ye Ye
spotify:track:35QZaWQRkmnAVqBF1TLCxQ,Ed Sheeran,÷ (Deluxe),Nancy Mulligan,['Ed Sheeran'],15,179786,False,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,0.858,67,pop,Nancy Mulligan
spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,Ed Sheeran,÷ (Deluxe),Save Myself,['Ed Sheeran'],16,247106,False,0.85,0.552,0.29,0.0,0.227,-5.617000000000001,0.0448,78.842,0.481,68,pop,Save Myself
spotify:track:6x44NmhdsmgRzG07kzqOO6,Ed Sheeran,5,"You Need Me, I Don't Need You",['Ed Sheeran'],1,245040,True,0.6920000000000001,0.6890000000000001,0.563,0.0,0.0579,-5.539,0.275,129.517,0.8190000000000001,45,pop,"You Need Me, I Don't Need You"
spotify:track:24ha18yq0t7XnZ9EgJ7HYb,Ed Sheeran,5,So,['Ed Sheeran'],2,268760,False,0.853,0.521,0.133,0.0,0.35,-10.599,0.0431,140.077,0.391,48,pop,So
spotify:track:6ThrnYkLPlKar6dUIggR6Q,Ed Sheeran,5,Be Like You,['Ed Sheeran'],3,218373,False,0.715,0.6709999999999999,0.388,0.0,0.192,-6.516,0.0762,105.869,0.59,46,pop,Be Like You
spotify:track:4oCmusomhJaDXUF9OttwQ5,Ed Sheeran,5,The City,['Ed Sheeran'],4,266280,False,0.74,0.6890000000000001,0.369,0.0,0.122,-7.183,0.35700000000000004,102.565,0.701,43,pop,The City
spotify:track:0Z0GZkW8QCohqGChLmWixd,Ed Sheeran,5,Sunburn,['Ed Sheeran'],5,266053,False,0.8420000000000001,0.5329999999999999,0.17,5.03e-06,0.113,-11.342,0.0668,116.852,0.33,46,pop,Sunburn
spotify:track:4Ur8TgNrZyUuRBWjsQfgGe,Ed Sheeran,5,Let It Out,['Ed Sheeran'],1,231546,False,0.645,0.731,0.603,0.011,0.147,-7.6560000000000015,0.0378,96.973,0.619,45,pop,Let It Out
spotify:track:5YS8NjfOuoFP1vi5wglycc,Ed Sheeran,5,Homeless,['Ed Sheeran'],2,210746,False,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,0.875,44,pop,Homeless
spotify:track:5DizlXTwJjjwxxqGNChcvO,Ed Sheeran,5,Little Bird,['Ed Sheeran'],3,226066,False,0.569,0.826,0.485,0.0,0.107,-7.423999999999999,0.0354,104.011,0.278,46,pop,Little Bird
spotify:track:2Z7RLfJdXXkXUmvMJxkNJo,Ed Sheeran,5,Sofa,['Ed Sheeran'],4,199133,False,0.14,0.6459999999999999,0.65,9.65e-06,0.0999,-6.4910000000000005,0.0278,100.05,0.52,43,pop,Sofa
spotify:track:1IbGB3FLPDJjBX5i3S57rA,Ed Sheeran,5,One Night,['Ed Sheeran'],5,206440,False,0.379,0.7809999999999999,0.836,0.0,0.289,-5.496,0.0658,94.989,0.636,43,pop,One Night
spotify:track:7udHOd6OUjUIhSjpTo4cl4,Ed Sheeran,5,Firefly,['Ed Sheeran'],6,254999,False,0.8859999999999999,0.602,0.31,0.00014199999999999998,0.105,-11.469,0.0373,159.917,0.36,48,pop,Firefly
spotify:track:7cCsAsOKvFdOjQHpADku4O,Ed Sheeran,5,The City - Live at Sticky Studios; Loose Change EP,['Ed Sheeran'],7,306320,False,0.507,0.7120000000000001,0.569,0.0,0.412,-6.032,0.204,105.032,0.8370000000000001,38,pop,The City - Live at Sticky Studios; Loose Change EP
spotify:track:0dQ5jI1SGoAX2QT6N95tad,Ed Sheeran,5,Firefly - Bravado Dubstep Remix,"['Ed Sheeran', 'Bravado']",8,269186,False,0.28,0.629,0.6629999999999999,0.711,0.0811,-10.515999999999998,0.0283,139.982,0.49,37,pop,Firefly - Bravado Dubstep Remix
spotify:track:5JTTFF4bKTIqrhRmmOgXXo,Ed Sheeran,5,Fall,['Ed Sheeran'],1,163272,False,0.632,0.5589999999999999,0.28300000000000003,0.00127,0.126,-9.827,0.0323,82.552,0.188,47,pop,Fall
spotify:track:4I7VRMbaqi6GdSkaSxe1he,Ed Sheeran,5,Fire Alarms,['Ed Sheeran'],2,144013,False,0.772,0.602,0.28600000000000003,0.0,0.162,-9.886,0.0296,102.009,0.379,43,pop,Fire Alarms
spotify:track:0xaPq2EZ9pQ9vLuxy6MCHH,Ed Sheeran,5,Where We Land,['Ed Sheeran'],3,183000,False,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,0.275,45,pop,Where We Land
spotify:track:4THoSHxiabL1rd59iVWu2T,Ed Sheeran,5,Cold Coffee,['Ed Sheeran'],4,254226,False,0.453,0.544,0.529,0.0,0.131,-6.752999999999999,0.0256,92.936,0.403,53,pop,Cold Coffee
spotify:track:3ICdPHubhqTJ4Lm9NEb2W3,Ed Sheeran,5,She,['Ed Sheeran'],5,244653,False,0.8109999999999999,0.573,0.344,0.0,0.13,-10.91,0.0361,157.783,0.377,49,pop,She
spotify:track:3nwbntyppUfLEMorPB40HN,Ed Sheeran,5,The A Team - Live at the Bedford,['Ed Sheeran'],1,322933,False,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,0.496,40,pop,The A Team - Live at the Bedford
spotify:track:0ewWskuCnqrTFvMUqtAQwF,Ed Sheeran,5,Homeless - Live at the Bedford,['Ed Sheeran'],2,225013,False,0.62,0.601,0.879,0.0,0.464,-5.215,0.0945,99.377,0.713,37,pop,Homeless - Live at the Bedford
spotify:track:4HQcJua3wHJLvBvc3gKJTr,Ed Sheeran,5,The City - Live at the Bedford,['Ed Sheeran'],3,307760,False,0.545,0.602,0.8,0.0,0.6559999999999999,-5.91,0.0734,109.921,0.81,37,pop,The City - Live at the Bedford
spotify:track:1lG7S133U7vKOXy0n8WeEL,Ed Sheeran,5,Fall - Live at the Bedford,['Ed Sheeran'],4,151173,False,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,0.393,37,pop,Fall - Live at the Bedford
spotify:track:2c3PILT3ocB6B47pNzi9qs,Ed Sheeran,5,Wake Me Up - Live at the Bedford,['Ed Sheeran'],5,300680,False,0.792,0.616,0.141,0.0,0.897,-17.160999999999998,0.532,107.874,0.361,38,pop,Wake Me Up - Live at the Bedford
