artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Black Panther,1,1,1,4,0.625,0.618,0.5820000000000001,3.84e-06,0.265,-9.454,0.297,90.035,0.48,57,hiphop,130.613
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars,1,8,1,4,0.0605,0.698,0.633,0.000194,0.0926,-4.946000000000001,0.0597,96.92399999999999,0.552,78,hiphop,232.18599999999998
Kendrick Lamar,Black Panther The Album Music From And Inspired By,X,1,2,1,4,0.0201,0.768,0.47100000000000003,0.0,0.268,-8.406,0.259,131.023,0.405,69,hiphop,267.426
Kendrick Lamar,Black Panther The Album Music From And Inspired By,The Ways,1,11,0,4,0.0626,0.727,0.72,1.21e-06,0.17600000000000002,-5.856,0.0488,140.08,0.589,65,hiphop,238.893
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Opps,1,1,1,4,0.152,0.706,0.775,3.32e-05,0.41600000000000004,-6.819,0.335,127.929,0.847,59,hiphop,180.893
Kendrick Lamar,Black Panther The Album Music From And Inspired By,I Am,1,8,0,4,0.14400000000000002,0.601,0.583,9.73e-05,0.183,-5.725,0.263,148.785,0.32,62,hiphop,208.76
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Paramedic!,1,1,1,4,0.177,0.856,0.652,0.0,0.193,-5.324,0.14300000000000002,97.01700000000001,0.47100000000000003,67,hiphop,219.30599999999998
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Bloody Waters,1,8,1,4,0.185,0.507,0.606,0.0,0.174,-8.758,0.452,180.607,0.20199999999999999,62,hiphop,272.306
Kendrick Lamar,Black Panther The Album Music From And Inspired By,King's Dead,1,1,1,4,0.0010199999999999999,0.5660000000000001,0.7240000000000001,0.0,0.158,-4.574,0.32299999999999995,81.774,0.40700000000000003,65,hiphop,225.266
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Redemption Interlude,1,9,0,4,0.662,0.5489999999999999,0.449,4.88e-05,0.0866,-13.645,0.10400000000000001,121.164,0.223,52,hiphop,85.266
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Redemption,1,11,0,4,0.139,0.778,0.765,0.0274,0.12300000000000001,-7.175,0.128,125.06200000000001,0.642,56,hiphop,222.093
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Seasons,1,1,1,4,0.28,0.629,0.5539999999999999,0.0,0.158,-6.7589999999999995,0.326,126.694,0.308,56,hiphop,242.293
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Big Shot,1,1,1,4,0.00759,0.855,0.478,0.0,0.10099999999999999,-9.116,0.193,130.018,0.284,67,hiphop,221.826
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Pray For Me,1,2,1,4,0.0762,0.735,0.677,2.17e-05,0.111,-4.979,0.09300000000000001,100.584,0.188,76,hiphop,211.44
Kendrick Lamar,DAMN. COLLECTORS EDITION.,DUCKWORTH.,1,7,1,4,0.0536,0.552,0.731,0.0,0.258,-6.872999999999999,0.615,174.516,0.632,46,hiphop,248.613
Kendrick Lamar,DAMN. COLLECTORS EDITION.,GOD.,1,0,1,4,0.0347,0.706,0.557,0.0,0.276,-5.8,0.0813,132.98,0.205,45,hiphop,248.826
Kendrick Lamar,DAMN. COLLECTORS EDITION.,FEAR.,1,1,1,4,0.604,0.588,0.479,7.2000000000000005e-06,0.527,-7.039,0.281,150.414,0.434,45,hiphop,460.57300000000004
Kendrick Lamar,DAMN. COLLECTORS EDITION.,XXX. FEAT. U2.,1,1,1,4,0.138,0.568,0.619,1.67e-06,0.11,-6.899,0.414,170.115,0.293,45,hiphop,254.2
Kendrick Lamar,DAMN. COLLECTORS EDITION.,LOVE. FEAT. ZACARI.,1,10,1,4,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.05799999999999,0.779,46,hiphop,213.4
Kendrick Lamar,DAMN. COLLECTORS EDITION.,LUST.,1,3,0,4,0.193,0.6779999999999999,0.562,0.0,0.10400000000000001,-9.197000000000001,0.508,94.241,0.5660000000000001,44,hiphop,307.88
